text,startMs,endMs
this black guy in the psych war is like,135000,137440
yelling in the modal you know like,137440,139080
anybody want to learn how to play chess,139080,140560
anybody want to learn how to play chess,140560,141959
you know I was like hell yeah I want to,141959,143680
learn how to play chess right so I walk,143680,146120
over I sit down with this fool and he,146120,148080
starts showing me how to play chess but,148080,150000
it's a black guy at a black guy table,150000,152599
and I'm a white guy so now I just sat,152599,154640
down at this black guy table and all the,154640,156440
woods and all the skin heads in there,156440,157720
are like now against me you oh no but I,157720,161760
didn't know like oh no you had no idea I,161760,164280
had no idea oh no right so now now no no,164280,167720
yeah so now my cell pops and I go to,167720,171400
walk to the shower and I walk past the,171400,173480
other cell that pops which is another,173480,175360
another skin head in that in that room,175360,177519
and I go walk past his his cell and,177519,180280
smack right so now we're fighting wow,180280,184879
you know so clean this kid up now they,184879,188799
move me to another module so now this,188799,191440
kid put a kite out like oh we got to get,191440,193440
this guy,193440,194599
