text,start,duration
The jogan Experience so I get picked up,0.919,4.241
in Atlanta take me to Atlanta jail I go,3.52,3.12
and put me in this modular and I go in,5.16,3.16
this modular and there's black people,6.64,3.68
all the different races right well over,8.32,3.56
there they don't politic like we do in,10.32,3.76
California right so this is my,11.88,4.159
first understanding of how the system,14.08,3.8
works right so I go in there and the,16.039,3.361
only thing that you can't do in that,17.88,2.96
system is you can't eat at the same,19.4,3.48
table with a different,20.84,5.0
race besides that once you're up from,22.88,5.559
the dinner table I can trade with any,25.84,4.64
race I could do whatever talk to chop it,28.439,3.761
up like but you have to eat with people,30.48,3.56
of your own,32.2,5.519
race so then uh and they tell you this,34.04,6.4
so somebody informs you oh yeah oh yeah,37.719,4.641
I got informed when I in so when I when,40.44,4.04
I move from Atlanta to California,42.36,4.4
California politics much different you,44.48,4.48
can't trade you can't trade with with,46.76,4.36
blacks you can't trade with others you,48.96,4.32
can't trade with so you can only do,51.12,4.119
trade with your race and then the whites,53.28,4.0
get along with the the essay so what end,55.239,4.401
up happening is like so you have others,57.28,4.52
which are any other race besides Mexican,59.64,4.4
white or black and this is a car it's,61.8,3.999
called a car right so everybody has a,64.04,4.2
car their own race so you have Woods you,65.799,5.32
have skin heads you have pisas you got,68.24,5.64
Mexicans you got Crips Bloods and others,71.119,4.441
and the pisas roll with the Mexicans the,73.88,4.16
skin heads roll with the woods yeah and,75.56,4.599
if something really pops off some R sh,78.04,3.759
then Mexicans and the and the whites,80.159,3.361
will click up against the blacks or the,81.799,4.36
blacks always all them against us it,83.52,4.52
always suck to be it suck to be black in,86.159,3.64
them times I'm telling you real [ __ ] we,88.04,3.96
get hey well we dumped though we,89.799,4.32
dumped so so we always knock them out,92.0,3.479
anyway so you start fig trying to figure,94.119,2.64
out this [ __ ] you know like you get,95.479,2.481
thrown into that fire you're trying to,96.759,2.921
figure out all these Unwritten rules you,97.96,3.799
know there's no rule book law book come,99.68,4.6
and say hey do this this this this yeah,101.759,4.36
you know so a guy could really direct,104.28,3.36
you in the long the wrong way if he,106.119,3.201
wants to you know what I mean like tell,107.64,3.079
you some sideways [ __ ] and next thing,109.32,3.68
you know is you're in a wreck you know,110.719,6.801
so I go in set you up so I go in,113.0,6.479
um this was actually my second,117.52,3.519
experience it's not my first experience,119.479,3.161
in there but my second experience I go,121.039,5.161
in they put me into a psych ward a psych,122.64,6.28
watch getting extradited from Atlanta to,126.2,6.039
here and uh so I go into this area and,128.92,6.08
and I don't know anything you know and,132.239,5.201
this black guy in the psych war is like,135.0,4.08
yelling in the modal you know like,137.44,3.12
anybody want to learn how to play chess,139.08,2.879
anybody want to learn how to play chess,140.56,3.12
you know I was like hell yeah I want to,141.959,4.161
learn how to play chess right so I walk,143.68,4.4
over I sit down with this fool and he,146.12,3.88
starts showing me how to play chess but,148.08,4.519
it's a black guy at a black guy table,150.0,4.64
and I'm a white guy so now I just sat,152.599,3.841
down at this black guy table and all the,154.64,3.08
woods and all the skin heads in there,156.44,5.32
are like now against me you oh no but I,157.72,6.56
didn't know like oh no you had no idea I,161.76,5.96
had no idea oh no right so now now no no,164.28,7.12
yeah so now my cell pops and I go to,167.72,5.76
walk to the shower and I walk past the,171.4,3.96
other cell that pops which is another,173.48,4.039
another skin head in that in that room,175.36,4.92
and I go walk past his his cell and,177.519,7.36
smack right so now we're fighting wow,180.28,8.519
you know so clean this kid up now they,184.879,6.561
move me to another module so now this,188.799,4.641
kid put a kite out like oh we got to get,191.44,3.159
this guy,193.44,5.84
because so oh fun yeah so I moving this,194.599,5.72
other,199.28,3.76
module at the time the the institution,200.319,4.041
had a lot of skin heads in there and the,203.04,3.08
skin heads will politic hard like if,204.36,3.4
they have numbers then they'll push the,206.12,4.199
politics you know and,207.76,4.679
I look like a skin head when I went in,210.319,4.2
that's no hair you know like a just bald,212.439,4.08
guy going in there you know what I mean,214.519,5.321
so they all start treating me like I'm,216.519,5.36
one of them but I'm not a [ __ ] skin,219.84,3.92
head so this guy come over and he's try,221.879,3.241
to get me to hide this little shank in,223.76,2.88
my cell well that's weapons,225.12,4.08
manufacturing carries two more years oh,226.64,4.12
my God that's how people start getting,229.2,4.16
hit you start catching cases more cases,230.76,3.52
when you're only supped to do two now,233.36,1.84
you're doing,234.28,3.56
10 it just Stacks up go ahead and then,235.2,5.2
there's intimidation Factor right so,237.84,4.679
this guy got a big ass swastika tattooed,240.4,4.0
on his face right here tear drops,242.519,3.36
lightning bolts everywhere you know what,244.4,4.559
I mean like this he's lifer you know,245.879,6.401
right so big [ __ ] goes down we end up I,248.959,5.601
end up choking this guy unconscious oh,252.28,4.32
Jesus Christ drag him out of my cell,254.56,3.799
because he's trying to get me to hold,256.6,3.639
this this shake in my cell I not not,258.359,3.481
doing this bro and you come in my cell,260.239,4.881
it's on right so now we fighting take,261.84,4.799
this guy out right just choke him out,265.12,3.4
beat him up drag him out hit him with,266.639,3.881
some elbows now he's leaking,268.52,4.16
drag his ass out into the little mod so,270.52,3.64
do they know you can fight before you're,272.68,4.079
in here they have to Fig how long before,274.16,5.4
they figure it out well it took a minute,276.759,4.201
it took a minute because most of the,279.56,3.32
fighting goes on in the cell in in a in,280.96,3.679
a shower you know what I mean so when,282.88,3.36
the fight actually broke out in the open,284.639,3.28
when there was I was fighting multiple,286.24,4.0
people is what happened and then all the,287.919,3.881
[ __ ] guards watched all everybody's,290.24,3.0
watching from their cells you know like,291.8,3.92
this is a different time so this whole,293.24,4.16
incident takes place I beat this guy up,295.72,4.319
take him out of my my cell right now,297.4,4.639
they take him away they move this guy,300.039,4.0
out of the Moder did they get mad at you,302.039,4.121
no they just come in you know they they,304.039,4.121
don't really care the guards [ __ ] they,306.16,3.12
don't give a [ __ ] so you [ __ ] that,308.16,3.68
dude up is he out cold or does he have a,309.28,4.479
