text,startMs,endMs
The jogan Experience so I get picked up,919,3520
in Atlanta take me to Atlanta jail I go,3520,5160
and put me in this modular and I go in,5160,6640
this modular and there's black people,6640,8320
all the different races right well over,8320,10320
there they don't politic like we do in,10320,11880
California right so this is my,11880,14080
first understanding of how the system,14080,16039
works right so I go in there and the,16039,17880
only thing that you can't do in that,17880,19400
system is you can't eat at the same,19400,20840
table with a different,20840,22880
race besides that once you're up from,22880,25840
the dinner table I can trade with any,25840,28439
race I could do whatever talk to chop it,28439,30480
up like but you have to eat with people,30480,32200
of your own,32200,34040
race so then uh and they tell you this,34040,37719
so somebody informs you oh yeah oh yeah,37719,40440
I got informed when I in so when I when,40440,42360
I move from Atlanta to California,42360,44480
California politics much different you,44480,46760
can't trade you can't trade with with,46760,48960
blacks you can't trade with others you,48960,51120
can't trade with so you can only do,51120,53280
trade with your race and then the whites,53280,55239
get along with the the essay so what end,55239,57280
up happening is like so you have others,57280,59640
which are any other race besides Mexican,59640,61800
white or black and this is a car it's,61800,64040
called a car right so everybody has a,64040,65799
car their own race so you have Woods you,65799,68240
have skin heads you have pisas you got,68240,71119
Mexicans you got Crips Bloods and others,71119,73880
and the pisas roll with the Mexicans the,73880,75560
skin heads roll with the woods yeah and,75560,78040
if something really pops off some R sh,78040,80159
then Mexicans and the and the whites,80159,81799
will click up against the blacks or the,81799,83520
blacks always all them against us it,83520,86159
always suck to be it suck to be black in,86159,88040
them times I'm telling you real [ __ ] we,88040,89799
get hey well we dumped though we,89799,92000
dumped so so we always knock them out,92000,94119
anyway so you start fig trying to figure,94119,95479
out this [ __ ] you know like you get,95479,96759
thrown into that fire you're trying to,96759,97960
figure out all these Unwritten rules you,97960,99680
know there's no rule book law book come,99680,101759
and say hey do this this this this yeah,101759,104280
you know so a guy could really direct,104280,106119
you in the long the wrong way if he,106119,107640
wants to you know what I mean like tell,107640,109320
you some sideways [ __ ] and next thing,109320,110719
you know is you're in a wreck you know,110719,113000
so I go in set you up so I go in,113000,117520
um this was actually my second,117520,119479
experience it's not my first experience,119479,121039
in there but my second experience I go,121039,122640
in they put me into a psych ward a psych,122640,126200
watch getting extradited from Atlanta to,126200,128920
here and uh so I go into this area and,128920,132239
and I don't know anything you know and,132239,135000
this black guy in the psych war is like,135000,137440
yelling in the modal you know like,137440,139080
anybody want to learn how to play chess,139080,140560
anybody want to learn how to play chess,140560,141959
you know I was like hell yeah I want to,141959,143680
learn how to play chess right so I walk,143680,146120
over I sit down with this fool and he,146120,148080
starts showing me how to play chess but,148080,150000
it's a black guy at a black guy table,150000,152599
and I'm a white guy so now I just sat,152599,154640
down at this black guy table and all the,154640,156440
woods and all the skin heads in there,156440,157720
are like now against me you oh no but I,157720,161760
didn't know like oh no you had no idea I,161760,164280
had no idea oh no right so now now no no,164280,167720
yeah so now my cell pops and I go to,167720,171400
walk to the shower and I walk past the,171400,173480
other cell that pops which is another,173480,175360
another skin head in that in that room,175360,177519
and I go walk past his his cell and,177519,180280
smack right so now we're fighting wow,180280,184879
you know so clean this kid up now they,184879,188799
move me to another module so now this,188799,191440
kid put a kite out like oh we got to get,191440,193440
this guy,193440,194599
because so oh fun yeah so I moving this,194599,199280
other,199280,200319
module at the time the the institution,200319,203040
had a lot of skin heads in there and the,203040,204360
skin heads will politic hard like if,204360,206120
they have numbers then they'll push the,206120,207760
politics you know and,207760,210319
I look like a skin head when I went in,210319,212439
that's no hair you know like a just bald,212439,214519
guy going in there you know what I mean,214519,216519
so they all start treating me like I'm,216519,219840
one of them but I'm not a [ __ ] skin,219840,221879
head so this guy come over and he's try,221879,223760
to get me to hide this little shank in,223760,225120
my cell well that's weapons,225120,226640
manufacturing carries two more years oh,226640,229200
my God that's how people start getting,229200,230760
hit you start catching cases more cases,230760,233360
when you're only supped to do two now,233360,234280
you're doing,234280,235200
10 it just Stacks up go ahead and then,235200,237840
there's intimidation Factor right so,237840,240400
this guy got a big ass swastika tattooed,240400,242519
on his face right here tear drops,242519,244400
lightning bolts everywhere you know what,244400,245879
I mean like this he's lifer you know,245879,248959
right so big [ __ ] goes down we end up I,248959,252280
end up choking this guy unconscious oh,252280,254560
Jesus Christ drag him out of my cell,254560,256600
because he's trying to get me to hold,256600,258359
this this shake in my cell I not not,258359,260239
doing this bro and you come in my cell,260239,261840
it's on right so now we fighting take,261840,265120
this guy out right just choke him out,265120,266639
beat him up drag him out hit him with,266639,268520
some elbows now he's leaking,268520,270520
drag his ass out into the little mod so,270520,272680
do they know you can fight before you're,272680,274160
in here they have to Fig how long before,274160,276759
they figure it out well it took a minute,276759,279560
it took a minute because most of the,279560,280960
fighting goes on in the cell in in a in,280960,282880
a shower you know what I mean so when,282880,284639
the fight actually broke out in the open,284639,286240
when there was I was fighting multiple,286240,287919
people is what happened and then all the,287919,290240
[ __ ] guards watched all everybody's,290240,291800
watching from their cells you know like,291800,293240
this is a different time so this whole,293240,295720
incident takes place I beat this guy up,295720,297400
take him out of my my cell right now,297400,300039
they take him away they move this guy,300039,302039
out of the Moder did they get mad at you,302039,304039
no they just come in you know they they,304039,306160
don't really care the guards [ __ ] they,306160,308160
don't give a [ __ ] so you [ __ ] that,308160,309280
dude up is he out cold or does he have a,309280,311840
